CVE,Module,Type,Rank,Has_Check,Has_Vulhub,Success_Probability,Platform
CVE-2013-10037,exploits/unix/webapp/webtester_exec,exploits,Excellent,True,False,0.99,unix
CVE-2013-10038,exploits/unix/webapp/flashchat_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-10040,exploits/unix/webapp/clipbucket_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-10044,exploits/unix/webapp/openemr_sqli_privesc_upload,exploits,Excellent,True,False,0.99,php
CVE-2013-10046,exploits/windows/local/agnitum_outpost_acs,exploits,Excellent,True,False,0.99,win
CVE-2013-10047,exploits/windows/http/miniweb_upload_wbem,exploits,Excellent,True,False,0.99,win
CVE-2013-10051,exploits/unix/webapp/instantcms_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-10052,exploits/linux/local/zpanel_zsudo,exploits,Excellent,True,False,0.99,
CVE-2013-10053,exploits/unix/webapp/zpanel_username_exec,exploits,Excellent,True,False,0.99,unix
CVE-2013-10054,exploits/unix/webapp/libretto_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-10055,exploits/unix/webapp/havalite_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-10066,exploits/multi/http/kordil_edms_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-10067,exploits/multi/http/glossword_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-10070,exploits/unix/webapp/php_charts_exec,exploits,Excellent,True,False,0.99,unix
CVE-2013-1081,exploits/windows/http/novell_mdm_lfi,exploits,Excellent,True,False,0.99,win
CVE-2013-1349,exploits/unix/webapp/opensis_modname_exec,exploits,Excellent,True,False,0.99,unix
CVE-2013-1359,exploits/multi/http/sonicwall_gms_upload,exploits,Excellent,True,False,0.99,java
CVE-2013-1362,exploits/linux/misc/nagios_nrpe_arguments,exploits,Excellent,True,False,0.99,unix
CVE-2013-1412,exploits/unix/webapp/datalife_preview_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-1662,exploits/linux/local/vmware_mount,exploits,Excellent,True,False,0.99,linux
CVE-2013-2010,exploits/unix/webapp/wp_total_cache_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-2068,exploits/linux/http/cfme_manageiq_evm_upload_exec,exploits,Excellent,True,False,0.99,ruby
CVE-2013-2251,exploits/multi/http/struts_default_action_mapper,exploits,Excellent,True,False,0.99,win
CVE-2013-2347,exploits/windows/misc/hp_dataprotector_exec_bar,exploits,Excellent,True,False,0.99,win
CVE-2013-3214,exploits/multi/http/vtiger_soap_upload,exploits,Excellent,True,False,0.99,php
CVE-2013-3215,exploits/multi/http/vtiger_soap_upload,exploits,Excellent,True,False,0.99,php
CVE-2013-3238,exploits/multi/http/phpmyadmin_preg_replace,exploits,Excellent,True,False,0.99,php
CVE-2013-3502,exploits/linux/http/groundwork_monarch_cmd_exec,exploits,Excellent,True,False,0.99,
CVE-2013-3520,exploits/windows/http/vmware_vcenter_chargeback_upload,exploits,Excellent,True,False,0.99,win
CVE-2013-3522,exploits/unix/webapp/vbulletin_vote_sqli_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-3568,exploits/linux/http/linksys_wrt110_cmd_exec,exploits,Excellent,True,False,0.99,linux
CVE-2013-3576,exploits/multi/http/hp_sys_mgmt_exec,exploits,Excellent,True,False,0.99,linux
CVE-2013-3591,exploits/multi/http/vtiger_php_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-3628,exploits/multi/http/zabbix_script_exec,exploits,Excellent,True,False,0.99,"unix, linux"
CVE-2013-3630,exploits/multi/http/moodle_spelling_path_rce,exploits,Excellent,True,False,0.99,php
CVE-2013-3632,exploits/unix/webapp/openmediavault_auth_cron_rce,exploits,Excellent,True,False,0.99,"unix, linux"
CVE-2013-3763,exploits/windows/http/oracle_endeca_exec,exploits,Excellent,True,False,0.99,win
CVE-2013-4011,exploits/aix/local/ibstat_path,exploits,Excellent,True,False,0.99,
CVE-2013-4211,exploits/multi/http/openx_backdoor_php,exploits,Excellent,True,False,0.99,php
CVE-2013-4212,exploits/multi/http/apache_roller_ognl_injection,exploits,Excellent,True,False,0.99,java
CVE-2013-4467,exploits/unix/webapp/vicidial_manager_send_cmd_exec,exploits,Excellent,True,False,0.99,unix
CVE-2013-4468,exploits/unix/webapp/vicidial_manager_send_cmd_exec,exploits,Excellent,True,False,0.99,unix
CVE-2013-4490,exploits/multi/http/gitlab_shell_exec,exploits,Excellent,True,False,0.99,linux
CVE-2013-4557,exploits/multi/http/spip_connect_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-4811,exploits/windows/http/hp_pcm_snac_update_domain,exploits,Excellent,True,False,0.99,win
CVE-2013-4812,exploits/windows/http/hp_pcm_snac_update_certificates,exploits,Excellent,True,False,0.99,win
CVE-2013-4822,exploits/windows/http/hp_imc_bims_upload,exploits,Excellent,True,False,0.99,win
CVE-2013-4837,exploits/windows/http/hp_loadrunner_copyfiletoserver,exploits,Excellent,True,False,0.99,win
CVE-2013-4983,exploits/linux/http/sophos_wpa_sblistpack_exec,exploits,Excellent,True,False,0.99,unix
CVE-2013-4984,exploits/linux/local/sophos_wpa_clear_keys,exploits,Excellent,True,False,0.99,linux
CVE-2013-5014,exploits/windows/antivirus/symantec_endpoint_manager_rce,exploits,Excellent,True,False,0.99,win
CVE-2013-5015,exploits/windows/antivirus/symantec_endpoint_manager_rce,exploits,Excellent,True,False,0.99,win
CVE-2013-5036,exploits/unix/webapp/squash_yaml_exec,exploits,Excellent,True,False,0.99,ruby
CVE-2013-5093,exploits/unix/webapp/graphite_pickle_exec,exploits,Excellent,True,False,0.99,unix
CVE-2013-5486,exploits/multi/http/cisco_dcnm_upload,exploits,Excellent,True,False,0.99,java
CVE-2013-5576,exploits/unix/webapp/joomla_media_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2013-5743,exploits/linux/http/zabbix_sqli,exploits,Excellent,True,False,0.99,unix
CVE-2013-6829,exploits/linux/http/pineapp_test_li_conn_exec,exploits,Excellent,True,False,0.99,unix
CVE-2013-6955,exploits/linux/http/synology_dsm_sliceupload_exec_noauth,exploits,Excellent,True,False,0.99,unix
CVE-2013-7091,exploits/unix/webapp/zimbra_lfi,exploits,Excellent,True,False,0.99,linux
CVE-2013-7102,exploits/unix/webapp/wp_optimizepress_upload,exploits,Excellent,True,False,0.99,php
CVE-2013-7390,exploits/windows/http/desktopcentral_file_upload,exploits,Excellent,True,False,0.99,win
CVE-2014-0750,exploits/windows/scada/ge_proficy_cimplicity_gefebt,exploits,Excellent,True,False,0.99,win
CVE-2014-10021,exploits/unix/webapp/wp_symposium_shell_upload,exploits,Excellent,True,False,0.99,php
CVE-2014-125113,exploits/unix/http/dell_kace_k1000_upload,exploits,Excellent,True,False,0.99,unix
CVE-2014-125115,exploits/linux/http/pandora_fms_sqli,exploits,Excellent,True,False,0.99,php
CVE-2014-125118,exploits/linux/antivirus/escan_password_exec,exploits,Excellent,True,False,0.99,linux
CVE-2014-125124,exploits/linux/http/pandora_fms_exec,exploits,Excellent,True,False,0.99,unix
CVE-2014-125126,exploits/unix/webapp/simple_e_document_upload_exec,exploits,Excellent,True,False,0.99,php
CVE-2014-1610,exploits/multi/http/mediawiki_thumb,exploits,Excellent,True,False,0.99,php
CVE-2014-1649,exploits/windows/antivirus/symantec_workspace_streaming_exec,exploits,Excellent,True,False,0.99,java
CVE-2014-1683,exploits/unix/webapp/skybluecanvas_exec,exploits,Excellent,True,False,0.99,
CVE-2014-1691,exploits/unix/webapp/horde_unserialize_exec,exploits,Excellent,True,False,0.99,php
CVE-2014-1903,exploits/unix/webapp/freepbx_config_exec,exploits,Excellent,True,False,0.99,unix
CVE-2014-2424,exploits/windows/http/oracle_event_processing_upload,exploits,Excellent,True,False,0.99,win
CVE-2014-2533,exploits/qnx/local/ifwatchd_priv_esc,exploits,Excellent,True,False,0.99,unix
CVE-2014-2623,exploits/windows/misc/hp_dataprotector_cmd_exec,exploits,Excellent,True,False,0.99,win
CVE-2014-2928,exploits/linux/http/f5_icontrol_exec,exploits,Excellent,True,False,0.99,unix
CVE-2014-3120,exploits/multi/elasticsearch/script_mvel_rce,exploits,Excellent,True,True,0.99,java
CVE-2014-3153,exploits/android/local/futex_requeue,exploits,Excellent,True,False,0.99,"android, linux"
CVE-2014-3704,exploits/multi/http/drupal_drupageddon,exploits,Excellent,False,True,0.99,php
CVE-2014-3804,exploits/linux/ids/alienvault_centerd_soap_exec,exploits,Excellent,True,False,0.99,unix
CVE-2014-3828,exploits/linux/http/centreon_sqli_exec,exploits,Excellent,True,False,0.99,unix
CVE-2014-3829,exploits/linux/http/centreon_sqli_exec,exploits,Excellent,True,False,0.99,unix
CVE-2014-3996,exploits/multi/http/manage_engine_dc_pmp_sqli,exploits,Excellent,True,False,0.99,win
CVE-2014-4511,exploits/linux/http/gitlist_exec,exploits,Excellent,True,False,0.99,unix
CVE-2014-4725,exploits/unix/webapp/wp_wysija_newsletters_upload,exploits,Excellent,True,False,0.99,php
CVE-2014-4872,exploits/windows/http/trackit_file_upload,exploits,Excellent,True,False,0.99,win
CVE-2014-4977,exploits/multi/http/sonicwall_scrutinizer_methoddetail_sqli,exploits,Excellent,True,False,0.99,"win, linux"
CVE-2014-5005,exploits/windows/http/desktopcentral_statusupdate_upload,exploits,Excellent,True,False,0.99,win
CVE-2014-5073,exploits/unix/http/vmturbo_vmtadmin_exec_noauth,exploits,Excellent,True,False,0.99,unix
CVE-2014-5301,exploits/multi/http/manageengine_auth_upload,exploits,Excellent,True,False,0.99,java
CVE-2014-5460,exploits/unix/webapp/wp_slideshowgallery_upload,exploits,Excellent,True,False,0.99,php
CVE-2014-5468,exploits/linux/http/railo_cfml_rfi,exploits,Excellent,True,False,0.99,unix
CVE-2014-5470,exploits/unix/webapp/actualanalyzer_ant_cookie_exec,exploits,Excellent,True,False,0.99,unix
CVE-2014-6034,exploits/multi/http/opmanager_socialit_file_upload,exploits,Excellent,True,False,0.99,java
CVE-2014-6037,exploits/multi/http/eventlog_file_upload,exploits,Excellent,True,False,0.99,java
CVE-2014-6271,exploits/linux/http/advantech_switch_bash_env_exec,exploits,Excellent,True,True,0.99,unix
CVE-2014-6271,exploits/linux/http/ipfire_bashbug_exec,exploits,Excellent,True,True,0.99,
CVE-2014-6271,exploits/multi/ftp/pureftpd_bash_env_exec,exploits,Excellent,True,True,0.99,linux
CVE-2014-6271,exploits/multi/http/apache_mod_cgi_bash_env_exec,exploits,Excellent,True,True,0.99,linux
CVE-2014-6271,exploits/multi/http/cups_bash_env_exec,exploits,Excellent,True,True,0.99,unix
CVE-2014-6271,exploits/unix/dhcp/bash_environment,exploits,Excellent,False,True,0.99,unix
CVE-2014-6278,exploits/multi/http/apache_mod_cgi_bash_env_exec,exploits,Excellent,True,False,0.99,linux
CVE-2014-6278,exploits/multi/http/cups_bash_env_exec,exploits,Excellent,True,False,0.99,unix
CVE-2014-6287,exploits/windows/http/rejetto_hfs_exec,exploits,Excellent,True,False,0.99,win
CVE-2014-6446,exploits/unix/webapp/wp_infusionsoft_upload,exploits,Excellent,True,False,0.99,php
