"name","path"
"CVE-2017-8386","git/CVE-2017-8386"
"CVE-2016-9086","gitlab/CVE-2016-9086"
"CVE-2021-22205","gitlab/CVE-2021-22205"
"CVE-2018-1000533","gitlist/CVE-2018-1000533"
"CVE-2017-1000028","glassfish/CVE-2017-1000028"
"CVE-2017-17562","goahead/CVE-2017-17562"
"CVE-2021-42342","goahead/CVE-2021-42342"
"CVE-2018-18925","gogs/CVE-2018-18925"
"CVE-2023-51449","gradio/CVE-2023-51449"
"CVE-2024-1561","gradio/CVE-2024-1561"
"CVE-2021-43798","grafana/CVE-2021-43798"
"CVE-2018-10054","h2database/CVE-2018-10054"
"CVE-2021-42392","h2database/CVE-2021-42392"
"CVE-2022-23221","h2database/CVE-2022-23221"
"CVE-2024-42323","hertzbeat/CVE-2024-42323"
"CVE-2017-15715","httpd/CVE-2017-15715"
"CVE-2021-40438","httpd/CVE-2021-40438"
"CVE-2021-41773","httpd/CVE-2021-41773"
"CVE-2021-42013","httpd/CVE-2021-42013"
"CVE-2024-27348","hugegraph/CVE-2024-27348"
"CVE-2024-43441","hugegraph/CVE-2024-43441"
"CVE-2016-3714","imagemagick/CVE-2016-3714"
"CVE-2020-29599","imagemagick/CVE-2020-29599"
"CVE-2022-44268","imagemagick/CVE-2022-44268"
"CVE-2019-20933","influxdb/CVE-2019-20933"
"CVE-2025-1974","ingress-nginx/CVE-2025-1974"
"CVE-2017-7525","jackson/CVE-2017-7525"
"CVE-2017-12149","jboss/CVE-2017-12149"
"CVE-2017-7504","jboss/CVE-2017-7504"
"CVE-2017-1000353","jenkins/CVE-2017-1000353"
"CVE-2018-1000861","jenkins/CVE-2018-1000861"
"CVE-2024-23897","jenkins/CVE-2024-23897"
"CVE-2021-28164","jetty/CVE-2021-28164"
"CVE-2021-28169","jetty/CVE-2021-28169"
"CVE-2021-34429","jetty/CVE-2021-34429"
"CVE-2023-4450","jimureport/CVE-2023-4450"
"CVE-2019-11581","jira/CVE-2019-11581"
"CVE-2018-1297","jmeter/CVE-2018-1297"
"CVE-2015-8562","joomla/CVE-2015-8562"
"CVE-2017-8917","joomla/CVE-2017-8917"
"CVE-2023-23752","joomla/CVE-2023-23752"
"CVE-2023-42820","jumpserver/CVE-2023-42820"
"CVE-2023-25194","kafka/CVE-2023-25194"
"CVE-2018-17246","kibana/CVE-2018-17246"
"CVE-2019-7609","kibana/CVE-2019-7609"
"CVE-2020-7012","kibana/CVE-2020-7012"
"CVE-2025-3248","langflow/CVE-2025-3248"
"CVE-2021-3129","laravel/CVE-2021-3129"
"CVE-2023-38633","librsvg/CVE-2023-38633"
"CVE-2018-10933","libssh/CVE-2018-10933"
"CVE-2020-7961","liferay-portal/CVE-2020-7961"
"CVE-2017-5645","log4j/CVE-2017-5645"
"CVE-2021-44228","log4j/CVE-2021-44228"
"CVE-2021-41277","metabase/CVE-2021-41277"
"CVE-2023-38646","metabase/CVE-2023-38646"
"CVE-2021-45788","metersphere/CVE-2021-45788"
"CVE-2023-28432","minio/CVE-2023-28432"
"CVE-2018-18778","mini_httpd/CVE-2018-18778"
"CVE-2019-10758","mongo-express/CVE-2019-10758"
"CVE-2012-2122","mysql/CVE-2012-2122"
"CVE-2021-29441","nacos/CVE-2021-29441"
"CVE-2021-29442","nacos/CVE-2021-29442"
"CVE-2021-34371","neo4j/CVE-2021-34371"
"CVE-2025-29927","next.js/CVE-2025-29927"
"CVE-2019-7238","nexus/CVE-2019-7238"
"CVE-2020-10199","nexus/CVE-2020-10199"
"CVE-2020-10204","nexus/CVE-2020-10204"
"CVE-2024-4956","nexus/CVE-2024-4956"
"CVE-2013-4547","nginx/CVE-2013-4547"
"CVE-2017-7529","nginx/CVE-2017-7529"
"CVE-2017-14849","node/CVE-2017-14849"
"CVE-2017-16082","node/CVE-2017-16082"
"CVE-2021-28073","ntopng/CVE-2021-28073"
"CVE-2020-9496","ofbiz/CVE-2020-9496"
"CVE-2023-49070","ofbiz/CVE-2023-49070"
"CVE-2023-51467","ofbiz/CVE-2023-51467"
"CVE-2024-38856","ofbiz/CVE-2024-38856"
"CVE-2024-45195","ofbiz/CVE-2024-45195"
"CVE-2024-45507","ofbiz/CVE-2024-45507"
"CVE-2023-32315","openfire/CVE-2023-32315"
"CVE-2020-7247","opensmtpd/CVE-2020-7247"
"CVE-2018-15473","openssh/CVE-2018-15473"
"CVE-2014-0160","openssl/CVE-2014-0160"
"CVE-2022-0778","openssl/CVE-2022-0778"
"CVE-2020-35476","opentsdb/CVE-2020-35476"
"CVE-2023-25826","opentsdb/CVE-2023-25826"
"CVE-2024-4367","pdfjs/CVE-2024-4367"
"CVE-2022-4223","pgadmin/CVE-2022-4223"
"CVE-2023-5002","pgadmin/CVE-2023-5002"
"CVE-2025-2945","pgadmin/CVE-2025-2945"
"CVE-2012-1823","php/CVE-2012-1823"
"CVE-2018-19518","php/CVE-2018-19518"
"CVE-2019-11043","php/CVE-2019-11043"
"CVE-2024-2961","php/CVE-2024-2961"
"CVE-2017-5223","phpmailer/CVE-2017-5223"
"CVE-2016-5734","phpmyadmin/CVE-2016-5734"
"CVE-2018-12613","phpmyadmin/CVE-2018-12613"
"CVE-2017-9841","phpunit/CVE-2017-9841"
"CVE-2021-4034","polkit/CVE-2021-4034"
"CVE-2018-1058","postgres/CVE-2018-1058"
"CVE-2019-9193","postgres/CVE-2019-9193"
"CVE-2024-23334","python/CVE-2024-23334"
"CVE-2017-8291","python/PIL-CVE-2017-8291"
"CVE-2018-16509","python/PIL-CVE-2018-16509"
"CVE-2018-3760","rails/CVE-2018-3760"
"CVE-2019-5418","rails/CVE-2019-5418"
"CVE-2025-55182","react/CVE-2025-55182"
"CVE-2022-0543","redis/CVE-2022-0543"
"CVE-2021-22911","rocketchat/CVE-2021-22911"
"CVE-2023-33246","rocketmq/CVE-2023-33246"
"CVE-2023-37582","rocketmq/CVE-2023-37582"
"CVE-2017-17405","ruby/CVE-2017-17405"
"CVE-2020-11651","saltstack/CVE-2020-11651"
"CVE-2020-11652","saltstack/CVE-2020-11652"
"CVE-2020-16846","saltstack/CVE-2020-16846"
"CVE-2017-7494","samba/CVE-2017-7494"
"CVE-2010-3863","shiro/CVE-2010-3863"
"CVE-2016-4437","shiro/CVE-2016-4437"
"CVE-2020-1957","shiro/CVE-2020-1957"
"CVE-2017-12629","solr/CVE-2017-12629-RCE"
"CVE-2017-12629","solr/CVE-2017-12629-XXE"
"CVE-2019-0193","solr/CVE-2019-0193"
"CVE-2019-17558","solr/CVE-2019-17558"
"CVE-2016-4977","spring/CVE-2016-4977"
"CVE-2017-4971","spring/CVE-2017-4971"
"CVE-2017-8046","spring/CVE-2017-8046"
"CVE-2018-1270","spring/CVE-2018-1270"
"CVE-2018-1273","spring/CVE-2018-1273"
"CVE-2022-22947","spring/CVE-2022-22947"
"CVE-2022-22963","spring/CVE-2022-22963"
"CVE-2022-22965","spring/CVE-2022-22965"
"CVE-2022-22978","spring/CVE-2022-22978"
"CVE-2023-27524","superset/CVE-2023-27524"
"CVE-2023-37941","superset/CVE-2023-37941"
"CVE-2017-11610","supervisor/CVE-2017-11610"
"CVE-2023-42793","teamcity/CVE-2023-42793"
"CVE-2020-15906","tikiwiki/CVE-2020-15906"
"CVE-2017-12615","tomcat/CVE-2017-12615"
"CVE-2020-1938","tomcat/CVE-2020-1938"
"CVE-2025-24813","tomcat/CVE-2025-24813"
"CVE-2020-13942","unomi/CVE-2020-13942"
"CVE-2018-7490","uwsgi/CVE-2018-7490"
"CVE-2025-30208","vite/CVE-2025-30208"
"CVE-2017-10271","weblogic/CVE-2017-10271"
"CVE-2018-2628","weblogic/CVE-2018-2628"
"CVE-2018-2894","weblogic/CVE-2018-2894"
"CVE-2020-14882","weblogic/CVE-2020-14882"
"CVE-2023-21839","weblogic/CVE-2023-21839"
"CVE-2019-15107","webmin/CVE-2019-15107"
"CVE-2021-21351","xstream/CVE-2021-21351"
"CVE-2021-29505","xstream/CVE-2021-29505"
"CVE-2016-10134","zabbix/CVE-2016-10134"
"CVE-2017-2824","zabbix/CVE-2017-2824"
"CVE-2020-11800","zabbix/CVE-2020-11800"

